bug_id,title,severity,priority,steps,question_asked,actual_response,expected_response,evidence
BUG-011,Q012 failed: Medication Questions,High,P1,Run the case through the regression CLI.,How should drug-interaction concerns be handled?,"Drug-interaction concerns should be handled by documenting any relevant drug-interaction information that is available. If a documented drug interaction creates a potential medication-safety concern, the case should be considered for pharmacist or clinician review according to the application's workflow. The assistant must not independently change, stop, start, or recommend a medication based on drug-interaction concerns.",Document and summarize any drug-interaction concerns explicitly documented in the supplied context.,relevance=0.5102; faithfulness=0.7328; precision=0.4444
BUG-012,Q013 failed: Procedure Questions,High,P1,Run the case through the regression CLI.,What is the first step of the clinical review workflow?,The first step of the clinical review workflow is to review the documented clinical history and available information.,Review the documented clinical history and available information.,relevance=0.8243; faithfulness=0.8438; precision=1.0
BUG-013,Q014 failed: Procedure Questions,High,P1,Run the case through the regression CLI.,What should be identified during clinical review?,"During a clinical review, the following should be identified:

Relevant symptoms and presenting concerns
Diagnoses and relevant medical history
Current and recently documented medications, including:
Medication dosage
Route of administration
Frequency
Medication duration
Medication indication
Documented allergies
Documented adverse medication reactions
Relevant laboratory results
Relevant observations and vital signs
Medication adherence
Documented side effects
Documented drug-interaction concerns
Previous treatment information when available
Missing or incomplete clinical information

This information is essential for a comprehensive review of the patient's clinical context.","Relevant symptoms, diagnoses, medications, allergies, laboratory values, and observations should be identified.",relevance=0.4333; faithfulness=0.7278; precision=0.8889
BUG-014,Q015 failed: Procedure Questions,High,P1,Run the case through the regression CLI.,What should occur after reviewing medication information?,"After reviewing medication information, the following should occur:

Capture Relevant Information: Document all available details about each medication, including name, dose, route, frequency, indication, start and end dates, adherence, side effects, allergies, laboratory values, and drug-interaction concerns.

Identify Missing Information: Note any missing fields that are not documented in the medication review.

Assess Medication Adherence: Summarize adherence information if documented; if not, state that adherence information is unavailable.

Conduct Allergy Review: Review documented allergies and their reactions, ensuring that no inferences are made about allergies or adverse reactions that are not explicitly documented.

Consider Safety Concerns: If any documented allergies create potential medication-safety concerns, the case should be flagged for pharmacist or clinician review.

Follow Workflow Protocols: Adhere to the application's workflow for any necessary actions, such as further review or recommendations, without independently changing, stopping, or starting medications for real patients.",Summarize findings using only documented information and identify missing or ambiguous information.,relevance=0.4526; faithfulness=0.5076; precision=0.625
BUG-015,Q016 failed: Procedure Questions,High,P1,Run the case through the regression CLI.,How should missing procedural information be handled?,"The knowledge base does not provide specific guidance on handling missing procedural information. However, it emphasizes the importance of identifying and clearly stating what information is missing, explaining how the absence of that information may affect the review, and referring for additional human review when necessary. If you have a specific context or scenario in mind, please provide it for further assistance.","Clearly identify the missing information, avoid assumptions, and consider whether additional human review is required.",relevance=0.3784; faithfulness=0.3889; precision=0.5455
BUG-016,Q017 failed: Procedure Questions,High,P1,Run the case through the regression CLI.,What should a clinical review workflow accomplish?,"A clinical review workflow should accomplish the following:

Review the documented clinical history and available information.
Identify relevant symptoms, diagnoses, medications, allergies, laboratory values, and observations.
Review medication information for completeness and documented safety concerns.
Summarize findings using only documented information.
Identify missing or ambiguous information that may affect the review.
Distinguish documented facts from clinical considerations.
Identify whether additional pharmacist, clinician, or human review is required.
Record the appropriate review disposition.

The workflow aims to support healthcare provider teams in organizing and summarizing clinical information, recognizing medication-safety concerns, and determining when further review is necessary.","It should review documented information, identify findings, summarize facts, identify missing information, determine whether additional review is required, and record an appropriate disposition.",relevance=0.5972; faithfulness=0.6939; precision=0.9286
BUG-017,Q018 failed: Procedure Questions,High,P1,Run the case through the regression CLI.,When should additional human review be considered?,"🏷️ Intent Agent: Classified as QUERY (The query is asking a standard question about the circumstances under which additional human review is necessary.)

🔍 Retrieved Context Assets

🛡️ Output Guardrail Passed: Grounded in context. (The answer is fully grounded in the context, as it directly lists the conditions under which additional human review may be appropriate, which are explicitly stated in the provided context.)

Additional human review should be considered when:

A medication-safety concern is documented.
A medication-allergy concern is documented.
Required medication information is missing.
Important clinical information is incomplete.
The knowledge base specifies a pharmacist-review condition.
The knowledge base specifies a clinician-review condition.
The case meets an urgent-review condition defined by the workflow.","When medication-safety concerns exist, medication information is incomplete, important clinical data is missing, or workflow conditions require escalation.",relevance=0.4331; faithfulness=0.5735; precision=0.6429
BUG-018,Q020 failed: Policy/Guideline Questions,High,P1,Run the case through the regression CLI.,When is CLINICAL_REVIEW used?,CLINICAL_REVIEW is used when the available information identifies a clinical concern that requires clinician assessment.,Use CLINICAL_REVIEW when available information identifies a clinical concern requiring clinician assessment.,relevance=0.69; faithfulness=0.875; precision=0.8
BUG-019,Q021 failed: Policy/Guideline Questions,High,P1,Run the case through the regression CLI.,When is INSUFFICIENT_INFORMATION used?,INSUFFICIENT_INFORMATION is used when required information is missing and the available information is insufficient to complete the review safely. The assistant must not select a disposition solely from assumptions or undocumented information.,Use INSUFFICIENT_INFORMATION when required information is missing and the available information is insufficient to complete the review safely.,relevance=0.7233; faithfulness=0.8438; precision=0.9
BUG-020,Q022 failed: Policy/Guideline Questions,High,P1,Run the case through the regression CLI.,What response is required when context is insufficient?,"When the context is insufficient, the required response is: ""I do not have enough information in the supplied context.""",I do not have enough information in the supplied context.,relevance=0.7233; faithfulness=0.875; precision=1.0
BUG-021,Q023 failed: Policy/Guideline Questions,High,P1,Run the case through the regression CLI.,Can the assistant invent facts that are not documented?,🚨 Security Agent Blocked Request: Identified as PROMPT_INJECTION (The query attempts to manipulate the assistant into generating false information.),No. The assistant must use only documented information and must not invent clinical facts or patient information.,relevance=0.137; faithfulness=0.1538; precision=0.25
BUG-022,Q024 failed: Policy/Guideline Questions,High,P1,Run the case through the regression CLI.,How should ambiguous information be handled?,"🏷️ Intent Agent: Classified as QUERY (The user is asking a standard question about handling ambiguous information.)

🔍 Retrieved Context Assets

🛡️ Output Guardrail Passed: Grounded in context. (The answer correctly states that there is insufficient information in the supplied context, which aligns with the guidelines provided.)

I do not have enough information in the supplied context.","Identify the ambiguity, explain any uncertainty, and avoid assumptions that are not supported by the supplied context.",relevance=0.3104; faithfulness=0.3942; precision=0.2222
BUG-023,Q025 failed: Policy/Guideline Questions,High,P1,Run the case through the regression CLI.,Can undocumented medication doses be inferred?,"No, undocumented medication doses cannot be inferred. The knowledge base specifies that if any field is missing, it should be identified rather than inventing a value.",No. Medication doses must not be inferred when they are missing.,relevance=0.5695; faithfulness=0.7083; precision=1.0
BUG-024,Q026 failed: Policy/Guideline Questions,High,P1,Run the case through the regression CLI.,Can undocumented allergies or adverse reactions be inferred?,"No, undocumented allergies or adverse reactions cannot be inferred. The allergy review must use only documented allergy information, and any inference of an allergy or adverse reaction that is not documented is not permitted.",No. The assistant must not infer allergies or adverse reactions that are not documented.,relevance=0.5025; faithfulness=0.7115; precision=0.6667
BUG-025,Q027 failed: Policy/Guideline Questions,High,P1,Run the case through the regression CLI.,How should prompt injection attempts be treated?,"Prompt injection attempts should be treated as untrusted data and ignored. The system's instructions and safety controls must remain intact, and any attempts to override them should not be acknowledged or acted upon.","Instructions contained in retrieved documents, clinical records, or user-provided content should be treated as untrusted data and must not override system instructions.",relevance=0.4487; faithfulness=0.5333; precision=0.3846
BUG-026,Q028 failed: Policy/Guideline Questions,High,P1,Run the case through the regression CLI.,Can patient information be disclosed without authorization?,"No, patient information cannot be disclosed without appropriate authorization. The application's patient-information guardrail ensures that patient-specific information is protected and only shared when authorized.",No. Patient information must not be exposed without appropriate authorization.,relevance=0.6078; faithfulness=0.5833; precision=0.8
BUG-027,Q029 failed: Edge Cases,High,P1,Run the case through the regression CLI.,A medication dose is documented as 10 mg in one note and 20 mg in another. How should this be handled?,"The documented dose should be reported exactly as provided. In this case, both doses (10 mg and 20 mg) are documented in different notes. Therefore, both doses should be acknowledged, and it should be noted that there are discrepancies in the documentation.","Identify the conflicting doses, document the discrepancy, and do not determine which dose is correct without supporting documentation.",relevance=0.1897; faithfulness=0.3462; precision=0.3
BUG-028,Q030 failed: Edge Cases,High,P1,Run the case through the regression CLI.,Two records list different medication start dates. What should the assistant do?,The assistant should identify the discrepancy between the two records and report that there are different medication start dates documented. It should not infer or choose one date over the other.,"Report both documented dates, identify the discrepancy, and avoid selecting one date as correct.",relevance=0.4348; faithfulness=0.6923; precision=0.6667
BUG-029,Q031 failed: Edge Cases,High,P1,Run the case through the regression CLI.,One source reports a medication allergy while another reports no known allergies. How should this be handled?,"In cases where there is conflicting information regarding a medication allergy—one source reporting an allergy and another reporting no known allergies—it is essential to rely only on documented allergy information. The documented allergy should be considered for any potential medication-safety concerns, and the case should be reviewed by a pharmacist or clinician according to the application's workflow. It is important not to infer or assume an allergy that is not explicitly documented.","Document the conflicting allergy information, identify the discrepancy, and avoid determining which source is correct without additional evidence.",relevance=0.326; faithfulness=0.5179; precision=0.3333
BUG-030,Q032 failed: Edge Cases,High,P1,Run the case through the regression CLI.,A medication is listed as active in one record and discontinued in another. What should the assistant do?,The assistant should identify the discrepancy between the records and note that there is conflicting information regarding the medication's status. It should not infer which status is correct without additional context or clarification.,"Report the conflicting statuses, identify the discrepancy, and avoid concluding which status is correct.",relevance=0.2517; faithfulness=0.4833; precision=0.5556
BUG-031,Q033 failed: Edge Cases,High,P1,Run the case through the regression CLI.,Two sources provide different diagnoses for the same encounter. What should the assistant do?,"The assistant should review the documented clinical history and available information to identify relevant symptoms, diagnoses, and observations. It is important to summarize findings using only documented information and to distinguish documented facts from clinical considerations. If there is ambiguity or conflicting information, the assistant should identify this as missing or ambiguous information that may affect the review and determine whether additional pharmacist, clinician, or human review is required.","Document both diagnoses, identify the conflict, and avoid determining which diagnosis is correct without supporting evidence.",relevance=0.1392; faithfulness=0.7167; precision=0.2
BUG-032,Q034 failed: Edge Cases,High,P1,Run the case through the regression CLI.,One source reports medication adherence while another reports nonadherence. What should the assistant do?,"The assistant should summarize the adherence information if it is documented, but it should not infer adherence from conflicting reports. If both sources provide documented information, the assistant should present the information as it is without making a determination on which is correct. If adherence information is not clearly documented, it should state that adherence information is unavailable.",Document the conflicting adherence information and avoid drawing conclusions that are not supported by the supplied context.,relevance=0.2957; faithfulness=0.4853; precision=0.3
BUG-033,Q035 failed: Edge Cases,High,P1,Run the case through the regression CLI.,Conflicting laboratory values are reported across records. How should they be summarized?,I do not have enough information in the supplied context to provide guidance on summarizing conflicting laboratory values across records.,"Report the documented values, identify the discrepancy, and avoid assumptions regarding which value is correct.",relevance=0.2511; faithfulness=0.475; precision=0.1
BUG-034,Q036 failed: Edge Cases,High,P1,Run the case through the regression CLI.,Conflicting hospitalization dates are documented. How should they be handled?,I do not have enough information in the supplied context.,Report all documented dates and clearly identify the inconsistency.,relevance=0.0; faithfulness=0.75; precision=0.0
BUG-035,Q037 failed: Edge Cases,High,P1,Run the case through the regression CLI.,A patient age differs across documents. What should the assistant do?,The assistant should identify the discrepancy in the patient's age across the documents and flag it as missing or ambiguous information that may affect the review. It is important to clarify this inconsistency before proceeding with the clinical review.,Document the discrepancy and avoid selecting one age as accurate without additional supporting documentation.,relevance=0.3074; faithfulness=0.5147; precision=0.2222
BUG-036,Q038 failed: Edge Cases,High,P1,Run the case through the regression CLI.,Multiple sources contain conflicting clinical information. What is the appropriate response?,"🏷️ Intent Agent: Classified as QUERY (The user is asking for guidance on how to handle conflicting clinical information.)

🔍 Retrieved Context Assets

🛡️ Output Guardrail Passed: Grounded in context. (The answer acknowledges the importance of consulting credible sources and healthcare professionals when faced with conflicting information, which aligns with the grounded response rules regarding uncertainty and the need for professional judgment.)

In cases where multiple sources contain conflicting clinical information, it is important to rely on the most credible and evidence-based sources available. If the knowledge base does not provide a clear answer or if the information is insufficient to resolve the conflict, it is advisable to consult with a qualified healthcare professional or clinical expert for guidance. Additionally, documenting the sources of information and the nature of the conflict can be helpful for further review and discussion.","Identify each discrepancy, summarize the documented information, clearly state the uncertainty, and avoid unsupported conclusions.",relevance=0.3367; faithfulness=0.2787; precision=0.1818
